b7284c30-52d5-11e3-98e7-7128789e1a3e,13476114064,STARTED,hazel,
b7289a50-52d5-11e3-98e7-7128789e1a3e,13476630775,STARTED,hazel,
b5bfe290-52d5-11e3-a4ca-81a89d2f990b,14021651426,STARTED,hazel,
b5c009a0-52d5-11e3-a4ca-81a89d2f990b,14023334975,STARTED,hazel,14475366055
bb9a2540-52d5-11e3-bb25-bb04ca3f8922,14876157096,STARTED,hazel,38764042508
bb9a4c50-52d5-11e3-bb25-bb04ca3f8922,14884095449,STARTED,hazel,
b9ed86b0-52d5-11e3-8f9d-8dd148374767,15521763243,STARTED,hazel,
b9eebf30-52d5-11e3-8f9d-8dd148374767,15523181415,STARTED,hazel,
b7289a50-52d5-11e3-98e7-7128789e1a3e,37004412798,FINISHED,hazel,
b7284c30-52d5-11e3-98e7-7128789e1a3e,37086862891,FINISHED,hazel,24288676453
b5c009a0-52d5-11e3-a4ca-81a89d2f990b,38221365431,FINISHED,hazel,
b9ed86b0-52d5-11e3-8f9d-8dd148374767,38693196119,FINISHED,hazel,
bb9a4c50-52d5-11e3-bb25-bb04ca3f8922,38832451634,FINISHED,hazel,
bb9a2540-52d5-11e3-bb25-bb04ca3f8922,39089175786,FINISHED,hazel,
b5bfe290-52d5-11e3-a4ca-81a89d2f990b,39483078644,FINISHED,hazel,
b9eebf30-52d5-11e3-8f9d-8dd148374767,41701796763,FINISHED,hazel,
