,,QueueLength,TimeStamp
78933827768,202874,,
78981352469,209901,,
79037458439,192897,,
79046082512,194713,,
79067316129,208894,,
79080377565,198619,,
79182025246,235340,,
79252076466,199203,,
79264547292,205706,,
79271494372,215324,,
79274298668,212458,,
79285556256,205077,,
79318701786,202419,,
79345580125,212869,,
79493676769,197517,,
79507106293,202856,,
79508917450,200306,6694561,80122113722
79537964326,206667,,
79590670615,212486,,
79655880586,210945,,
79770809540,218407,,
79807159873,203899,,
79822490937,203042,,
79868880430,203558,,
79873289080,210160,,
79891563963,214151,,
79926801711,204098,,
79958745471,205724,,
79986575048,212557,,
80042401643,195602,,
80071860167,211909,,
80074084257,197575,,
80084570202,201701,,
80193946146,238329,,
80259672534,202084,,
80269934640,209001,,
80278440814,218124,,
80279320223,215374,,
80291823678,208393,,
80327665754,205275,,
80351650059,215558,,
80498109930,200395,,
80514583066,203150,,
80515199087,205654,,
80543709261,209929,,
80595359742,215391,,
80718829886,213860,,
80796728977,221257,,
80827076001,205810,6787848,81324568045
80834183525,206813,,
80877393476,206453,,
80878317298,212826,,
80896300035,216832,,
80932483361,206946,,
80966532078,209034,,
80991998660,215422,,
81048337150,198521,,
81077807701,214804,,
81081668502,200469,,
81089558240,204842,,
81202430761,240997,,
81266356728,205105,,
81274748867,212022,,
81282977247,220878,,
81286503749,218175,,
81297412659,211445,,
81335253986,208704,,
81356775554,218476,,
81501784090,203225,,
81519543294,205932,,
81523188731,208961,,
81548812028,212590,,
81600723818,218183,,
81727183889,216529,,
81815245228,224027,,
81831623511,209094,,
81843193115,210086,,
81883287505,215528,,
81885406790,209694,,
81902069850,219425,,
81937305365,210184,6876731,82510676580
81974130832,212048,,
81997485663,218228,,
82053235400,201664,,
82089428015,203303,,
82094480275,217533,,
82094931209,207941,,
82210009406,243811,,
82274904175,208450,,
82280267311,214882,,
82288889706,223679,,
82292497375,220934,,
82302490986,214278,,
82343461497,211751,,
82362943594,221263,,
82506323274,206027,,
82524575312,209204,,
82532586011,212000,,
82553869592,215427,,
82606824935,220947,,
82735078330,219156,,
82822898697,226488,,
82836322524,212088,,
82851930960,212767,,
82889571739,218441,,
82893403755,212394,,
82907641311,222145,,
82940758497,212852,,
82982579952,214903,,
83003237549,221016,,
83059227670,204779,,
83098359628,206148,,
83099793669,220302,7029040,83704024663
83101153352,211033,,
83227729790,246784,,
83284274001,211528,,
83286681079,217622,,
83294273051,226096,,
83298098580,223747,,
83306783102,216928,,
83352705804,214626,,
83367820592,223998,,
83510900402,209277,,
83530137026,212151,,
83541049495,214875,,
83559272605,218242,,
83611792264,223755,,
83744505204,221955,,
83831567096,229146,,
83841684731,214933,,
83859919643,215499,,
83895345611,221241,,
83901588591,215336,,
83913128154,224690,,
83946590450,215549,,
83992517325,217665,,
84007922697,223818,,
84066049210,207806,,
84105443599,209376,,
84105639005,222946,,
84124092835,213846,,
84236188067,249471,,
84291959104,220407,,
84292183071,214392,,
84299620218,228625,7124045,84870546327
84302994620,226171,,
84312627958,219556,,
84359970420,217299,,
84372670427,226452,,
84516660721,212185,,
84535728249,214999,,
84551776599,217617,,
84568911616,221051,,
84617554773,226178,,
84751684951,224516,,
84839394150,231546,,
84844622085,227720,,
84849427136,217697,,
84870465671,218417,,
84899821050,223965,,
84910362825,218132,,
84919607335,227420,,
84952974933,218461,,
85000804492,220462,,
85013329567,226240,,
85070472163,210945,,
85110777379,225306,,
85113874058,212240,,
85129679878,216496,,
85245945506,252170,,
85297272745,223074,,
85299402252,217031,,
85303939972,231090,,
85308375898,228723,,
85317888284,222240,,
85368844523,220021,,
85378332741,229092,7214743,85989536043
85468848707,227420,,
85522709833,215058,,
85540043469,217774,,
85560315115,220414,,
85574418381,223841,,
85622830959,228726,,
85759655082,227275,,
85847078862,234471,,
85855514093,220487,,
85870441057,230436,,
85878872680,221233,,
85905456356,226420,,
85918560200,220894,,
85924753231,230167,,
85958295446,221251,,
86009405479,223169,,
86019202711,228825,,
86076599594,213677,,
86116043848,227918,,
86123802213,215134,,
86134117401,219116,,
86254343897,254739,,
86303932855,225443,,
86307461817,219683,,
86309453009,233976,,
86312690391,231145,,
86323670971,224736,,
86376948323,222661,,
86383698577,231470,,
86499059439,230252,,
86528596626,217840,,
86544414191,220545,7291714,87082093370
86569361808,223099,,
86579589858,226261,,
86628006077,231146,,
86767306147,229944,,
86855589906,237646,,
86860887948,223191,,
86879375471,233102,,
86888258990,223968,,
86909529278,229051,,
86926872269,223709,,
86929905992,232600,,
86964825776,223984,,
86982125528,221511,,
87017461724,225520,,
87023040433,231210,,
87082180344,216300,,
87121309294,230654,,
87133787860,217935,,
87139444015,221916,,
87263008710,257415,,
87308500469,228024,,
87314314358,237411,,
87318544579,234071,,
87330799983,227523,,
87345671026,222436,,
87385384446,225061,,
87387782639,234406,,
87507722692,232708,,
87535288405,220622,,
87549696195,223281,,
87577001422,225464,,
87584399242,228846,7397969,88155107727
87634692277,234078,,
87775725958,232360,,
87864557289,240516,,
87865785481,225525,,
87886188873,236228,,
87896925873,226424,,
87916158571,231425,,
87935247944,235651,,
87936504138,226139,,
87968441534,226436,,
88009243237,224136,,
88025602774,228115,,
88028611606,234174,,
88087654013,218967,,
88127459251,233380,,
88143239915,220732,,
88145799388,224468,,
88271281610,260089,,
88313730526,230711,,
88319754008,240129,,
88323075576,237436,,
88335976573,230290,,
88354625319,224886,,
88392412506,237582,,
88394018455,227784,,
88516386442,235763,,
88540447602,223385,,
88555133867,225599,,
88584409200,228048,,
88590275977,231230,,
88639682224,237437,,
88784064311,235462,7487437,89239305517
88872206462,228114,,
88875367525,243313,,
88893951131,239043,,
88904436567,229078,,
88921924330,234382,,
88939356663,238610,,
88945310606,228696,,
88973851543,229068,,
89017957692,226708,,
89033812690,237459,,
89075521455,230819,,
89092631846,221815,,
89134254506,236655,,
89151581669,223519,,
89151842039,227237,,
89279588987,262636,,
89319240250,233485,,
89325235606,242806,,
89329471129,240197,,
89341059556,232740,,
89363441317,227696,,
89398323540,240473,,
89401965818,230519,,
89523433050,238713,,
89545661968,225701,,
89560839804,228182,,
89592069634,230730,,
89594626080,234190,,
89646230239,240203,,
89791852440,238441,,
89876666102,230747,,
89884546515,246039,7598601,90312462495
89901222076,241688,,
89912649199,231463,,
89926894069,237558,,
89944033169,241227,,
89952745983,231135,,
89979239303,231445,,
90025406900,229439,,
90040527383,240280,,
90084249658,233630,,
90097663305,224339,,
90140011352,239335,,
90156278174,229846,,
90160340646,225895,,
90287244998,265493,,
90323873686,236833,,
90329817785,245411,,
90334626395,242884,,
90345214998,235780,,
90372604753,230376,,
90403050368,243208,,
90411039691,233257,,
90532593275,241359,,
90550489389,228281,,
90565194276,230778,,
90600155719,237461,,
90601436723,233521,,
90650742936,242888,,
90800869688,241088,,
90882645419,233549,,
90892479161,248678,,
90908912847,244437,,
90919953362,234409,7675573,91383535255
90932558355,240457,,
90947951731,243945,,
90962343189,234076,,
90984176552,234384,,
91033235120,231894,,
91044911879,242986,,
91092903820,237123,,
91102321770,227104,,
91144840844,242010,,
91161042420,232283,,
91168234992,228427,,
91296323668,268382,,
91328534594,239474,,
91335644438,248099,,
91339441978,245489,,
91349660318,238714,,
91380811333,232969,,
91407320916,245887,,
91418621934,236367,,
91540649448,244074,,
91555997275,230831,,
91571011841,233580,,
91607419197,240290,,
91610272889,236902,,
91657540714,245515,,
91809525356,243849,,
91887396755,236930,,
91899818624,251248,,
91916964203,247105,,
91927817307,237593,,
91937881350,243177,,
91952012185,246890,7774708,92454925898
91971502281,237439,,
91990296671,237566,,
92041795713,234811,,
92050119240,245613,,
92101386860,239813,,
92107240255,229655,,
92149005764,244638,,
92165918483,235331,,
92177413020,230959,,
92305044734,271049,,
92333928307,242141,,
92340890271,250645,,
92344180010,248169,,
92355489468,241356,,
92388579865,236106,,
92413210928,248505,,
92426233853,239156,,
92547901765,246922,,
92560932601,233643,,
92577294913,237010,,
92611302352,242991,,
92617823514,239568,,
92667029665,248193,,
92818328453,246831,,
92892811281,239598,,
92907972555,253852,,
92924320814,250012,,
92935936574,240479,,
92942478906,245856,,
92959390599,249686,,
92979856851,240225,,
92995816267,240458,7856383,93528070835
93049155864,237921,,
93055451495,248269,,
93109185198,242383,,
93112360648,232174,,
93155751889,247420,,
93170338407,238296,,
93185634867,233778,,
93313364114,273826,,
93338740414,244778,,
93345633899,253345,,
93350047399,250714,,
93361869409,244072,,
93396605369,238943,,
93417590759,251084,,
93433122741,241798,,
93557336688,249859,,
93566142251,237125,,
93581091962,239668,,
93617131651,245618,,
93625703072,242213,,
93681721308,250767,,
93826884212,249552,,
93896856095,242225,,
93914746376,256524,,
93933964899,252820,,
93944671597,243236,,
93947736988,248469,,
93965047706,252292,,
93987853394,242927,,
94002419938,243180,,
94058289828,240649,,
94060538111,250824,7951425,94601303303
94117537699,235173,,
94121306593,245116,,
94161015415,250061,,
94174439246,240953,,
94195720948,237351,,
94322150262,276414,,
94343260332,247521,,
94350291229,256222,,
94354388590,253388,,
94367028447,246919,,
94405786464,241604,,
94421649662,253663,,
94442113369,244510,,
94564097953,252437,,
94571642560,239801,,
94586462957,242258,,
94623434512,248274,,
94633757387,244883,,
94685289721,253418,,
94835257371,252238,,
94902000699,244885,,
94922557363,259423,,
94942092414,255510,,
94952190011,245946,,
94953529654,251049,,
94970074702,254945,,
94997196626,245557,,
95007997968,245866,,
95066170930,243600,,
95067766231,253453,,
95122960278,238163,,
95129462114,247735,8053176,95674408360
95167599222,253001,,
95178887672,243783,,
95205158732,240022,,
95330697955,279019,,
95348860551,250159,,
95355847380,259143,,
95360578819,256251,,
95372556989,249824,,
95414029946,244358,,
95426243555,256413,,
95450159008,247242,,
95571184912,255158,,
95577204407,242365,,
95591475689,244949,,
95627643551,250819,,
95641845926,247576,,
95692524801,256280,,
95853163161,254869,,
95905698713,247568,,
95931266224,262237,,
95950756068,258226,,
95958416985,253637,,
95959361115,248571,,
95974814553,257575,,
96005275375,248240,,
96013039788,248480,,
96072922641,256301,,
96074616855,246338,,
96128748820,240825,,
96136875751,250433,,
96174150244,255779,,
96183945312,246713,8128977,96746839498
96214199019,242667,,
96338965889,281675,,
96353502844,253056,,
96361670140,261849,,
96366596117,259191,,
96378223278,252408,,
96422160214,247027,,
96431448140,259327,,
96457412299,250024,,
96578289057,257796,,
96582057550,245078,,
96595907577,247602,,
96631877777,253451,,
96649834039,250265,,
96707031937,259234,,
96860817733,257528,,
96911339767,250254,,
96939726602,264999,,
96958585629,260819,,
96963561230,256399,,
96967549823,251157,,
96979647930,260227,,
97014265086,250802,,
97018127893,251057,,
97079523208,259252,,
97082761670,249063,,
97134596377,243746,,
97144839295,253161,,
97178028039,258461,,
97189309958,249374,,
97223062506,245315,,
97347510615,284398,8267012,97825704768
97360130663,255897,,
97367018839,264431,,
97372773580,261917,,
97382316287,255112,,
97430694988,249996,,
97436259995,262150,,
97467986486,252925,,
97585674354,247681,,
97586012275,260434,,
97601438313,250288,,
97637651604,256301,,
97658633519,253086,,
97714953520,261983,,
97868602536,260191,,
97916526031,253082,,
97947783199,267704,,
97966969873,263378,,
97968192238,259316,,
97976377538,253760,,
97983935620,262758,,
98021835283,253446,,
98023548819,253641,,
98085577250,262012,,
98091494142,251600,,
98140836072,246568,,
98153580999,256140,,
98183836419,261091,,
98193455465,252036,,
98231106335,247994,,
98355177691,287084,,
98364662012,258612,,
98371190496,267025,8344110,98896196534
98378067390,264506,,
98387333493,257733,,
98439989413,252721,,
98443943290,264817,,
98475677309,255629,,
98590783404,250385,,
98594126922,262988,,
98606468985,253087,,
98643465534,259244,,
98667433756,256009,,
98719943004,264579,,
98875745457,262729,,
98923198054,255982,,
98956827248,270360,,
98973526718,262141,,
98975999942,266041,,
98985452853,256472,,
98988813694,265522,,
99027953618,256411,,
99030901530,256302,,
99091080863,264632,,
99100023227,254206,,
99145861308,249276,,
99164892998,258929,,
99189513823,263613,,
99198468488,254578,,
99238987347,250576,,
99363157579,289580,,
99369885836,261242,,
99376820880,269697,,
99382754642,267098,,
99391933246,260374,8428455,99961551252
99448709874,255409,,
99449353345,267499,,
99484134252,258330,,
99596422020,253118,,
99602446935,265671,,
99613409098,256009,,
99649716403,261992,,
99675905774,258740,,
99725665444,267190,,
99883579090,265514,,
99929340876,258699,,
99964574717,272871,,
99980583795,264796,,
99984748768,268729,,
99993523282,268455,,
99994430929,259395,,
1.00037E+11,259343,,
1.00038E+11,259242,,
1.00096E+11,267241,,
1.00108E+11,256889,,
1.00152E+11,251886,,
1.00173E+11,261631,,
1.00196E+11,266279,,
1.00203E+11,257240,,
1.00236E+11,272019,,
1.00248E+11,253297,,
1.00371E+11,291878,,
1.00375E+11,263771,,
1.00382E+11,272280,,
1.00388E+11,269750,,
1.00398E+11,262918,,
1.00455E+11,270079,8524562,1.01002E+11
1.00457E+11,258118,,
1.00492E+11,260956,,
1.00602E+11,256099,,
1.0061E+11,268540,,
1.00618E+11,258727,,
1.00655E+11,264602,,
1.00684E+11,261403,,
1.00731E+11,269818,,
1.00892E+11,268455,,
1.00935E+11,261346,,
1.00973E+11,275567,,
1.00986E+11,267470,,
1.00994E+11,271548,,
1.00999E+11,271106,,
1.01004E+11,262204,,
1.01049E+11,262021,,
1.01051E+11,262159,,
1.011E+11,269862,,
1.01116E+11,259571,,
1.01155E+11,254440,,
1.0118E+11,264144,,
1.012E+11,268902,,
1.01209E+11,259911,,
1.01256E+11,256202,,
1.01261E+11,274849,,
1.01378E+11,294437,,
1.0138E+11,266443,,
1.01387E+11,274960,,
1.01393E+11,272347,,
1.01404E+11,265616,,
1.01459E+11,272660,,
1.01465E+11,260722,8600890,1.0204E+11
1.015E+11,263503,,
1.01607E+11,258839,,
1.01618E+11,271323,,
1.01623E+11,261372,,
1.0166E+11,267200,,
1.01692E+11,263929,,
1.01736E+11,272428,,
1.019E+11,271117,,
1.01941E+11,263863,,
1.01982E+11,278244,,
1.01991E+11,270050,,
1.02003E+11,274381,,
1.02004E+11,273875,,
1.02012E+11,264943,,
1.02057E+11,264640,,
1.02057E+11,264829,,
1.02107E+11,272479,,
1.02124E+11,262385,,
1.02161E+11,257111,,
1.02187E+11,266801,,
1.02204E+11,271619,,
1.02217E+11,262485,,
1.02268E+11,277662,,
1.02271E+11,259124,,
1.02384E+11,269056,,
1.02386E+11,297039,,
1.02392E+11,277760,,
1.02399E+11,274996,,
1.02407E+11,268526,,
1.02464E+11,275318,,
1.02474E+11,263271,,
1.02507E+11,266162,8692692,1.0308E+11
1.02612E+11,261511,,
1.02626E+11,274049,,
1.02628E+11,263886,,
1.02671E+11,269851,,
1.027E+11,266621,,
1.02742E+11,275067,,
1.02908E+11,273890,,
1.02946E+11,266556,,
1.0299E+11,280968,,
1.02996E+11,272640,,
1.03009E+11,276478,,
1.03011E+11,277063,,
1.03022E+11,267651,,
1.03061E+11,267509,,
1.03065E+11,267271,,
1.03112E+11,275113,,
1.03134E+11,265237,,
1.03167E+11,259777,,
1.03194E+11,269476,,
1.03209E+11,274520,,
1.03222E+11,265446,,
1.03276E+11,280388,,
1.03281E+11,261832,,
1.03389E+11,271720,,
1.03395E+11,299726,,
1.03399E+11,280497,,
1.03404E+11,277805,,
1.03413E+11,271235,,
1.0347E+11,278015,,
1.03482E+11,265915,,
1.03516E+11,268817,,
1.03617E+11,264003,8776024,1.04121E+11
1.03633E+11,266565,,
1.03634E+11,276761,,
1.03675E+11,272457,,
1.03708E+11,269255,,
1.03747E+11,277852,,
1.03916E+11,276521,,
1.03951E+11,269172,,
1.03997E+11,283740,,
1.04002E+11,275298,,
1.04014E+11,279054,,
1.0402E+11,279786,,
1.04031E+11,270273,,
1.04067E+11,270100,,
1.04072E+11,269893,,
1.04116E+11,277880,,
1.04142E+11,268008,,
1.04172E+11,262429,,
1.04203E+11,272035,,
1.04214E+11,277190,,
1.04229E+11,268202,,
1.04285E+11,283131,,
1.0429E+11,264426,,
1.04395E+11,274596,,
1.04401E+11,301933,,
1.04403E+11,283245,,
1.04409E+11,280531,,
1.04417E+11,273984,,
1.04476E+11,280797,,
1.04489E+11,268640,,
1.04524E+11,271585,,
1.04623E+11,266682,,
1.04639E+11,269188,8867205,1.0516E+11
1.0464E+11,279339,,
1.04681E+11,275087,,
1.04717E+11,271868,,
1.04753E+11,280575,,
1.04926E+11,279117,,
1.04956E+11,271802,,
1.05005E+11,286515,,
1.05007E+11,277995,,
1.05019E+11,281701,,
1.05028E+11,282387,,
1.05041E+11,272815,,
1.05077E+11,272680,,
1.0508E+11,272514,,
1.05123E+11,280614,,
1.05149E+11,270681,,
1.05178E+11,265378,,
1.0521E+11,274818,,
1.05218E+11,279918,,
1.05234E+11,270897,,
1.05292E+11,285859,,
1.05299E+11,267038,,
1.05401E+11,277358,,
1.05408E+11,286010,,
1.05409E+11,304450,,
1.05414E+11,283298,,
1.05424E+11,276654,,
1.05481E+11,283526,,
1.05499E+11,271521,,
1.05534E+11,274475,,
1.05628E+11,269321,,
1.05643E+11,271806,,
1.05649E+11,281998,8965943,1.06198E+11
1.05686E+11,277871,,
1.05725E+11,274689,,
1.05758E+11,283360,,
1.05933E+11,281760,,
1.05964E+11,274641,,
1.06013E+11,280779,,
1.06014E+11,289014,,
1.06025E+11,284409,,
1.06036E+11,285096,,
1.06049E+11,275512,,
1.06083E+11,275341,,
1.06088E+11,275161,,
1.06128E+11,283404,,
1.06158E+11,273250,,
1.06184E+11,268129,,
1.06217E+11,277640,,
1.06222E+11,282526,,
1.0624E+11,273604,,
1.063E+11,288282,,
1.06307E+11,269712,,
1.06406E+11,280038,,
1.06413E+11,288413,,
1.06417E+11,307079,,
1.06419E+11,286055,,
1.06429E+11,279228,,
1.06488E+11,286308,,
1.06507E+11,274265,,
1.06543E+11,277149,,
1.06633E+11,271905,,
1.06648E+11,274636,,
1.06657E+11,284689,,
1.06692E+11,280595,9049016,1.07237E+11
1.06734E+11,277535,,
1.06765E+11,286105,,
1.0694E+11,284476,,
1.06969E+11,277460,,
1.07017E+11,283515,,
1.07023E+11,291202,,
1.0703E+11,287095,,
1.07044E+11,287577,,
1.07057E+11,278185,,
1.07088E+11,278026,,
1.07097E+11,277919,,
1.07133E+11,286146,,
1.07165E+11,275861,,
1.07188E+11,270813,,
1.07226E+11,280354,,
1.07227E+11,285201,,
1.07244E+11,276136,,
1.0731E+11,290587,,
1.07314E+11,272306,,
1.07412E+11,282738,,
1.07418E+11,290663,,
1.07425E+11,309729,,
1.07425E+11,288465,,
1.07435E+11,281867,,
1.07493E+11,288786,,
1.07515E+11,276991,,
1.07551E+11,279895,,
1.07639E+11,274707,,
1.07654E+11,277450,,
1.07665E+11,287252,,
1.07696E+11,283379,,
1.07742E+11,280183,9131796,1.08277E+11
1.0777E+11,288543,,
1.07949E+11,287141,,
1.07974E+11,280121,,
1.08023E+11,286285,,
1.08031E+11,293664,,
1.08036E+11,289577,,
1.08053E+11,290003,,
1.08066E+11,280942,,
1.08094E+11,280809,,
1.08105E+11,280665,,
1.0814E+11,288624,,
1.08173E+11,278537,,
1.08192E+11,273444,,
1.08232E+11,287694,,
1.08234E+11,283098,,
1.08249E+11,278756,,
1.0832E+11,293035,,
1.08323E+11,274977,,
1.08417E+11,285373,,
1.08423E+11,293138,,
1.08429E+11,290692,,
1.08433E+11,312296,,
1.0844E+11,284558,,
1.08498E+11,290890,,
1.08524E+11,279672,,
1.0856E+11,282524,,
1.08643E+11,277553,,
1.08659E+11,280091,,
1.08674E+11,289824,,
1.08702E+11,286118,,
1.0875E+11,282969,,
1.08775E+11,290723,9224326,1.09316E+11
1.08958E+11,289649,,
1.08992E+11,282893,,
1.09029E+11,288764,,
1.09038E+11,296256,,
1.09041E+11,291864,,
1.09062E+11,292529,,
1.09073E+11,283677,,
1.091E+11,283537,,
1.09113E+11,283456,,
1.09145E+11,290761,,
1.0918E+11,281208,,
1.09197E+11,276004,,
1.09237E+11,290031,,
1.09244E+11,285824,,
1.09254E+11,281420,,
1.09329E+11,295594,,
1.09331E+11,277791,,
1.09423E+11,287903,,
1.09428E+11,295639,,
1.09435E+11,293200,,
1.09441E+11,314851,,
1.09444E+11,287180,,
1.09502E+11,293504,,
1.09532E+11,282257,,
1.09568E+11,285200,,
1.09648E+11,280194,,
1.09665E+11,282838,,
1.09683E+11,292126,,
1.09708E+11,288570,,
1.09759E+11,285610,,
1.09781E+11,293273,,
1.09967E+11,291949,9307939,1.1036E+11
1.09997E+11,285512,,
1.10033E+11,290864,,
1.10047E+11,299061,,
1.10048E+11,294414,,
1.1007E+11,294944,,
1.10083E+11,286495,,
1.10105E+11,286317,,
1.10122E+11,286213,,
1.10151E+11,293354,,
1.10188E+11,284019,,
1.10202E+11,278647,,
1.10245E+11,292595,,
1.10251E+11,288257,,
1.10258E+11,284183,,
1.10336E+11,298464,,
1.10339E+11,280530,,
1.10427E+11,290148,,
1.10433E+11,298534,,
1.1044E+11,295661,,
1.1045E+11,289700,,
1.1045E+11,317331,,
1.10508E+11,295913,,
1.1054E+11,284980,,
1.10576E+11,287707,,
1.10653E+11,282971,,
1.1067E+11,285456,,
1.1069E+11,294657,,
1.10713E+11,290737,,
1.10767E+11,288110,,
1.10786E+11,295700,,
1.10975E+11,294516,,
1.11002E+11,288024,9384836,1.11399E+11
1.11037E+11,293483,,
1.11053E+11,297006,,
1.11055E+11,301296,,
1.11077E+11,297669,,
1.11092E+11,288982,,
1.11111E+11,288796,,
1.1113E+11,288702,,
1.11158E+11,295750,,
1.11197E+11,286730,,
1.11206E+11,281306,,
1.1125E+11,295004,,
1.11259E+11,290552,,
1.11265E+11,286919,,
1.11343E+11,300597,,
1.11348E+11,283303,,
1.11433E+11,292712,,
1.11439E+11,300682,,
1.11445E+11,298567,,
1.11456E+11,291993,,
1.11458E+11,319813,,
1.11512E+11,298831,,
1.11548E+11,287449,,
1.11584E+11,290048,,
1.11658E+11,285597,,
1.11675E+11,287975,,
1.11699E+11,297349,,
1.11718E+11,293301,,
1.11775E+11,290369,,
1.11792E+11,298625,,
1.11983E+11,297134,,
1.12007E+11,290272,,
1.12042E+11,295881,9471971,1.12438E+11
1.12059E+11,299692,,
1.12064E+11,303799,,
1.12085E+11,300019,,
1.12104E+11,291173,,
1.12117E+11,290906,,
